,Brand,Generic,Uses
757,clearlax,Polyethylene Glycol 3350,"This medication is used to treat occasional constipation. It works by holding water in the stool to soften the stool and increases the number of bowel movements. It is known as an osmotic-type laxative. This medication is also available without a prescription. If you are taking this medication for self-treatment, it is important to read the manufacturer's package instructions carefully so you know when to consult your doctor or pharmacist. (See also Precautions.)"
758,clemastine fumarate,Clemastine Fumarate,"Clemastine is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold. These symptoms include rash, watery eyes, itchy eyes/nose/throat/skin, cough, runny nose, and sneezing. This medication works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. By blocking another natural substance made by your body (acetylcholine), it helps dry up some body fluids to relieve symptoms such as watery eyes and runny nose. Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely. These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
759,clenpiq,Sod Picosulf/Mag Ox/Citric Ac,"Sodium picosulfate/magnesium oxide/citric acid solution is used to clean out the intestines before surgery or certain procedures (such as colonoscopy, X-rays). It is a laxative that works by drawing large amounts of water into your intestines and stimulating the colon. This causes watery bowel movements (diarrhea). Clearing stool from the intestines helps your doctor to better examine the inside of your colon."
760,cleocin,Clindamycin Phosphate,This medication is used to treat a certain type of vaginal infection (bacterial vaginosis) in women who are not pregnant. Clindamycin is an antibiotic which works by stopping the growth of bacteria.
761,cleocin hcl,Clindamycin HCl,"Clindamycin is used to treat a wide variety of bacterial infections. It is an antibiotic that works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for virus infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
762,cleocin pediatric,Clindamycin Palmitate HCl,"Clindamycin is used to treat a wide variety of serious bacterial infections. It is an antibiotic that works by stopping the growth of bacteria. This antibiotic only treats bacterial infections. It will not work for viral infections (e.g., common cold, flu). Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
763,cleocin phosphate*,Clindamycin Phosphate,"This medication is used to treat a wide variety of bacterial infections. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. This medication should not be used to treat meningitis."
764,cleocin phosphate in d5w,Clindamycin Phosphate/D5W,"This medication is used to treat a wide variety of bacterial infections. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. This medication should not be used to treat meningitis."
765,cleocin t,Clindamycin Phosphate,This medication is used to treat acne. It helps to decrease the number of acne lesions. Clindamycin is an antibiotic which works by stopping the growth of bacteria.
766,cleviprex,Clevidipine Butyrate,Drug uses not available
767,climara,Estradiol,"This medication is a female hormone (estrogen). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women who are not able to produce enough estrogen (for example, due to hypogonadism, primary ovarian failure). Certain estrogen products may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen treatment."
768,climara pro,Estradiol/Levonorgestrel,"This medication contains 2 female hormones: an estrogen (estradiol) and a progestin (levonorgestrel). It is used by women to help reduce a certain symptom of menopause (hot flashes). Symptoms of menopause are caused by the body making less estrogen. The progestin in this medication helps to reduce the risk of cancer of the uterus which can be caused by using estrogen. Women who have had their uterus removed do not need the progestin and therefore should not use this combination medication. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen/progestin treatment."
